|          Item           |   Quantity   |   Approx Cost (₹)   |
| ----------------------- | ------------ | ------------------- |
| Arduino UNO             | 1            | 800                 |
| Flex Sensor 2.2 inch    | 1            | 150                 |
| Servo Motors            | 5            | 250 × 5 = 1250      |
| Resistor 10kΩ           | 5            | 5 × 2 = 10          |
| Transparent String      | ~5 m         | 50                  |
| Elastic Rope 2–3 mm     | ~10 m        | 100                 |
| Adhesive Glue (Fevicol) | 1            | 20                  |
| Gloves                  | 1 pair       | 100                 |
| Breadboard              | 1            | 200                 |
| Jumper Wires            | Several      | 150                 |
